59;'Self-emp-not-inc,';325732;'HS-grad,';9;'Married-civ-spouse,';'Exec-managerial,';'Husband,';'White,';'Male,';0;1902;52;'United-States,'
57;'Private,';250201;'11th,';7;'Married-civ-spouse,';'Other-service,';'Husband,';'White,';'Male,';0;0;52;'United-States,'
48;'Local-gov,';39464;'Masters,';14;'Never-married,';'Prof-specialty,';'Not-in-family,';'White,';'Female,';0;0;52;'United-States,'
35;'Private,';163237;'Bachelors,';13;'Married-civ-spouse,';'Sales,';'Husband,';'White,';'Male,';0;0;52;'United-States,'
30;'Self-emp-inc,';109282;'Bachelors,';13;'Married-civ-spouse,';'Sales,';'Husband,';'White,';'Male,';0;0;52;'United-States,'
36;'Self-emp-not-inc,';111957;'Some-college,';10;'Married-civ-spouse,';'Exec-managerial,';'Husband,';'White,';'Male,';0;0;52;'United-States,'
41;'Private,';49654;'HS-grad,';9;'Divorced,';'Adm-clerical,';'Unmarried,';'White,';'Female,';0;0;52;'United-States,'
27;'Private,';216858;'Doctorate,';16;'Never-married,';'Prof-specialty,';'Not-in-family,';'White,';'Male,';0;0;52;'United-States,'
35;'Private,';1226583;'Bachelors,';13;'Married-civ-spouse,';'Sales,';'Husband,';'White,';'Male,';0;0;52;'United-States,'
25;'Private,';166415;'HS-grad,';9;'Never-married,';'Transport-moving,';'Unmarried,';'White,';'Male,';0;0;52;'United-States,'
50;'State-gov,';116211;'Prof-school,';15;'Married-civ-spouse,';'Exec-managerial,';'Husband,';'White,';'Male,';0;0;52;'United-States,'
54;'Local-gov,';204325;'Some-college,';10;'Married-civ-spouse,';'Protective-serv,';'Husband,';'White,';'Male,';0;0;52;'United-States,'
30;'Private,';255004;'Assoc-acdm,';12;'Divorced,';'Sales,';'Not-in-family,';'White,';'Male,';0;0;52;'United-States,'
42;'Federal-gov,';132125;'Bachelors,';13;'Married-civ-spouse,';'Exec-managerial,';'Husband,';'White,';'Male,';0;0;52;'United-States,'
51;'Federal-gov,';73670;'Doctorate,';16;'Married-civ-spouse,';'Prof-specialty,';'Husband,';'White,';'Male,';4386;0;52;'United-States,'
37;'Private,';164898;'Some-college,';10;'Married-civ-spouse,';'Craft-repair,';'Husband,';'White,';'Male,';0;0;52;'United-States,'
27;'Private,';207611;'HS-grad,';9;'Never-married,';'Other-service,';'Not-in-family,';'White,';'Female,';0;0;52;'United-States,'
45;'Private,';242994;'Some-college,';10;'Never-married,';'Sales,';'Not-in-family,';'White,';'Male,';0;0;52;'United-States,'
39;'State-gov,';176949;'Assoc-acdm,';12;'Married-civ-spouse,';'Protective-serv,';'Husband,';'White,';'Male,';0;0;52;'United-States,'
31;'Private,';80933;'HS-grad,';9;'Married-civ-spouse,';'Craft-repair,';'Husband,';'White,';'Male,';0;0;52;'United-States,'
30;'Private,';164190;'Assoc-voc,';11;'Married-civ-spouse,';'Prof-specialty,';'Husband,';'White,';'Male,';5178;0;52;'United-States,'
26;'Private,';193165;'Some-college,';10;'Married-civ-spouse,';'Transport-moving,';'Husband,';'White,';'Male,';0;0;52;'United-States,'
40;'Private,';202565;'Assoc-acdm,';12;'Married-civ-spouse,';'Sales,';'Husband,';'White,';'Male,';0;0;52;'United-States,'
26;'Private,';380674;'HS-grad,';9;'Never-married,';'Handlers-cleaners,';'Own-child,';'White,';'Male,';0;0;52;'United-States,'
19;'Private,';28145;'HS-grad,';9;'Never-married,';'Other-service,';'Own-child,';'White,';'Female,';0;0;52;'United-States,'
43;'Private,';55213;'HS-grad,';9;'Married-civ-spouse,';'Machine-op-inspct,';'Husband,';'White,';'Male,';0;1977;52;'United-States,'
30;'Private,';175083;'HS-grad,';9;'Divorced,';'Transport-moving,';'Not-in-family,';'White,';'Male,';0;0;52;'United-States,'
42;'Local-gov,';266135;'Some-college,';10;'Married-civ-spouse,';'Protective-serv,';'Husband,';'White,';'Male,';0;0;52;'United-States,'
40;'State-gov,';456110;'11th,';7;'Divorced,';'Transport-moving,';'Unmarried,';'White,';'Female,';0;0;52;'United-States,'
